File name,File size,MIME type,Image size,Camera make,Camera model,Image timestamp,Image number,Exposure time,Aperture,Exposure bias,Flash,Flash bias,Focal length,Subject distance,ISO speed,Exposure mode,Metering mode,Macro mode,Image quality,Exif Resolution,White balance,Thumbnail,Copyright,Exif comment
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/BossBase-1.0-raw/10000.dng","18324480 Bytes","image/tiff","5216 x 3472","Leica Camera AG","M9 Digital Camera","","","1/90 s","","-85/256 EV","No flash","","0.0 mm (35 mm equivalent: Unknown)","","160","Manual","Center weighted average","","","5216 x 3472","Auto","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/BossBase-1.0-raw/1000.cr2","9811097 Bytes","image/x-canon-cr2","3888 x 2592","Canon","Canon EOS 400D DIGITAL","2009:08:04 10:09:14","","1/320 s","F8","0 EV","No, compulsory","0 EV","17.0 mm","218","100","Auto","Multi-segment","Off","RAW","1936 x 1288","Auto","image/jpeg, 7420 Bytes","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/BossBase-1.0-raw/1001.cr2","8977194 Bytes","image/x-canon-cr2","3888 x 2592","Canon","Canon EOS 400D DIGITAL","2009:08:04 08:21:14","","1/100 s","F7.1","0 EV","No, compulsory","0 EV","17.0 mm","8191","400","Manual","Multi-segment","Off","RAW","1936 x 1288","Cloudy","image/jpeg, 5455 Bytes","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/BossBase-1.0-raw/1002.cr2","10781850 Bytes","image/x-canon-cr2","3888 x 2592","Canon","Canon EOS 400D DIGITAL","2009:04:04 15:18:18","","1/640 s","F13","0 EV","No, compulsory","0 EV","70.0 mm","3252","400","Auto","Multi-segment","Off","RAW","1936 x 1288","Shade","image/jpeg, 7292 Bytes","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/BossBase-1.0-raw/1003.cr2","9470597 Bytes","image/x-canon-cr2","3888 x 2592","Canon","Canon EOS 400D DIGITAL","2009:05:23 15:09:53","","1/125 s","F5.6","0 EV","No, compulsory","0 EV","17.0 mm","262","100","Auto","Multi-segment","Off","RAW","1936 x 1288","Daylight","image/jpeg, 7891 Bytes","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/BossBase-1.0-raw/1004.cr2","9610154 Bytes","image/x-canon-cr2","3888 x 2592","Canon","Canon EOS 400D DIGITAL","2009:08:06 14:00:42","","1/250 s","F8","0 EV","No, compulsory","0 EV","17.0 mm","218","100","Auto","Multi-segment","Off","RAW","1936 x 1288","Auto","image/jpeg, 6515 Bytes","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/BossBase-1.0-raw/1005.cr2","11056583 Bytes","image/x-canon-cr2","3888 x 2592","Canon","Canon EOS 400D DIGITAL","2009:08:04 10:19:26","","1/500 s","F11","0 EV","No, compulsory","0 EV","21.0 mm","434","800","Auto","Multi-segment","Off","RAW","1936 x 1288","Auto","image/jpeg, 8637 Bytes","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/BossBase-1.0-raw/1006.cr2","12900445 Bytes","image/x-canon-cr2","3888 x 2592","Canon","Canon EOS 400D DIGITAL","2009:07:14 13:46:20","","1/320 s","F2.8","0 EV","No, compulsory","0 EV","17.0 mm","218","100","Manual","Multi-segment","Off","RAW","1936 x 1288","Daylight","image/jpeg, 15903 Bytes","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/BossBase-1.0-raw/1007.cr2","11705090 Bytes","image/x-canon-cr2","3888 x 2592","Canon","Canon EOS 400D DIGITAL","2009:03:07 14:01:07","","1/1250 s","F5","0 EV","No, compulsory","0 EV","17.0 mm","187","100","Shutter priority","Multi-segment","Off","RAW","1936 x 1288","Daylight","image/jpeg, 8807 Bytes","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/BossBase-1.0-raw/1008.cr2","10003841 Bytes","image/x-canon-cr2","3888 x 2592","Canon","Canon EOS 400D DIGITAL","2008:09:13 16:38:28","","1/8 s","F4","0 EV","No, compulsory","0 EV","70.0 mm","962","1600","Auto","Multi-segment","Off","RAW","1936 x 1288","Auto","image/jpeg, 9726 Bytes","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/BossBase-1.0-raw/1009.cr2","9482933 Bytes","image/x-canon-cr2","3888 x 2592","Canon","Canon EOS 400D DIGITAL","2009:08:02 20:56:56","","1/13 s","F2.8","0 EV","No, compulsory","0 EV","17.0 mm","187","800","Auto","Multi-segment","Off","RAW","1936 x 1288","Auto","image/jpeg, 8826 Bytes","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/BossBase-1.0-raw/100.cr2","9993365 Bytes","image/x-canon-cr2","3888 x 2592","Canon","Canon EOS 400D DIGITAL","2009:07:26 11:26:47","","1/1250 s","F2.8","0 EV","No, compulsory","0 EV","55.0 mm","1233","100","Manual","Multi-segment","Off","RAW","1936 x 1288","Daylight","image/jpeg, 6639 Bytes","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/BossBase-1.0-raw/1010.cr2","8872301 Bytes","image/x-canon-cr2","3888 x 2592","Canon","Canon EOS 400D DIGITAL","2009:08:04 17:51:14","","1/500 s","F7.1","0 EV","No, compulsory","0 EV","17.0 mm","1233","100","Manual","Multi-segment","Off","RAW","1936 x 1288","Daylight","image/jpeg, 5896 Bytes","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/BossBase-1.0-raw/1011.cr2","9740819 Bytes","image/x-canon-cr2","3888 x 2592","Canon","Canon EOS 400D DIGITAL","2009:04:04 21:58:51","","1/50 s","F3.5","0 EV","No, compulsory","0 EV","17.0 mm","218","800","Auto","Multi-segment","Off","RAW","1936 x 1288","Auto","image/jpeg, 9698 Bytes","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/BossBase-1.0-raw/1012.cr2","9568605 Bytes","image/x-canon-cr2","3888 x 2592","Canon","Canon EOS 400D DIGITAL","2009:08:02 14:43:21","","1/160 s","F5.6","0 EV","No, compulsory","0 EV","44.0 mm","1233","100","Auto","Multi-segment","Off","RAW","1936 x 1288","Cloudy","image/jpeg, 7874 Bytes","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/BossBase-1.0-raw/1013.cr2","9469905 Bytes","image/x-canon-cr2","3888 x 2592","Canon","Canon EOS 400D DIGITAL","2009:03:20 16:39:19","","1/125 s","F5.6","0 EV","No, compulsory","0 EV","21.0 mm","434","200","Auto","Multi-segment","Off","RAW","1936 x 1288","Cloudy","image/jpeg, 7278 Bytes","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/BossBase-1.0-raw/1014.cr2","8745105 Bytes","image/x-canon-cr2","3888 x 2592","Canon","Canon EOS 400D DIGITAL","2009:07:26 11:40:44","","1/1000 s","F3.5","0 EV","No, compulsory","0 EV","55.0 mm","60","100","Manual","Multi-segment","Off","RAW","1936 x 1288","Daylight","image/jpeg, 10128 Bytes","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/BossBase-1.0-raw/1015.cr2","9810055 Bytes","image/x-canon-cr2","3888 x 2592","Canon","Canon EOS 400D DIGITAL","2009:03:20 16:25:52","","1/125 s","F5.6","0 EV","No, compulsory","0 EV","17.0 mm","262","200","Auto","Multi-segment","Off","RAW","1936 x 1288","Cloudy","image/jpeg, 7273 Bytes","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/BossBase-1.0-raw/1016.cr2","8766963 Bytes","image/x-canon-cr2","3888 x 2592","Canon","Canon EOS 400D DIGITAL","2009:03:07 13:07:09","","1/640 s","F13","-1 EV","No, compulsory","0 EV","17.0 mm","145","100","Auto","Multi-segment","Off","RAW","1936 x 1288","Daylight","image/jpeg, 4618 Bytes","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/BossBase-1.0-raw/1017.cr2","8871961 Bytes","image/x-canon-cr2","3888 x 2592","Canon","Canon EOS 400D DIGITAL","2009:08:04 08:19:53","","1/100 s","F7.1","0 EV","No, compulsory","0 EV","17.0 mm","8191","400","Manual","Multi-segment","Off","RAW","1936 x 1288","Cloudy","image/jpeg, 4974 Bytes","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/BossBase-1.0-raw/1018.cr2","8978643 Bytes","image/x-canon-cr2","3888 x 2592","Canon","Canon EOS 400D DIGITAL","2009:08:04 15:11:29","","1/400 s","F7.1","0 EV","No, compulsory","0 EV","17.0 mm","69","100","Manual","Multi-segment","Off","RAW","1936 x 1288","Daylight","image/jpeg, 6143 Bytes","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/BossBase-1.0-raw/1019.cr2","10405224 Bytes","image/x-canon-cr2","3888 x 2592","Canon","Canon EOS 400D DIGITAL","2009:08:06 14:13:52","","1/400 s","F7.1","0 EV","No, compulsory","0 EV","55.0 mm","643","100","Auto","Multi-segment","Off","RAW","1936 x 1288","Auto","image/jpeg, 8340 Bytes","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/BossBase-1.0-raw/101.cr2","11154623 Bytes","image/x-canon-cr2","3888 x 2592","Canon","Canon EOS 400D DIGITAL","2009:03:07 14:59:30","","1/320 s","F8","0 EV","No, compulsory","0 EV","17.0 mm","163","100","Auto","Multi-segment","Off","RAW","1936 x 1288","Daylight","image/jpeg, 10246 Bytes","",""
