File name,File size,MIME type,Image size,Camera make,Camera model,Image timestamp,Image number,Exposure time,Aperture,Exposure bias,Flash,Flash bias,Focal length,Subject distance,ISO speed,Exposure mode,Metering mode,Macro mode,Image quality,Exif Resolution,White balance,Thumbnail,Copyright,Exif comment
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/DRESDEN_RAW/Nikon_D200_0_14903.NEF","16535132 Bytes","image/tiff","3904 x 2616","NIKON CORPORATION","NIKON D200","2009:01:06 13:27:07","","1/320 s","F7.1","0 EV","No flash","","24.0 mm (35 mm equivalent: 36.0 mm)","","200","Auto","Multi-segment","","RAW","3904 x 2616","AUTO","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/DRESDEN_RAW/Nikon_D200_0_14905.NEF","16266664 Bytes","image/tiff","3904 x 2616","NIKON CORPORATION","NIKON D200","2009:01:06 13:27:20","","1/320 s","F7.1","0 EV","No flash","","55.0 mm (35 mm equivalent: 82.0 mm)","","200","Auto","Multi-segment","","RAW","3904 x 2616","AUTO","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/DRESDEN_RAW/Nikon_D200_0_14907.NEF","16583412 Bytes","image/tiff","3904 x 2616","NIKON CORPORATION","NIKON D200","2009:01:06 13:27:27","","1/320 s","F7.1","0 EV","No flash","","17.0 mm (35 mm equivalent: 25.0 mm)","","200","Auto","Multi-segment","","RAW","3904 x 2616","AUTO","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/DRESDEN_RAW/Nikon_D200_0_14909.NEF","16617420 Bytes","image/tiff","3904 x 2616","NIKON CORPORATION","NIKON D200","2009:01:06 13:29:02","","1/350 s","F6.3","0 EV","No flash","","26.0 mm (35 mm equivalent: 39.0 mm)","","200","Auto","Multi-segment","","RAW","3904 x 2616","AUTO","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/DRESDEN_RAW/Nikon_D200_0_14911.NEF","16307340 Bytes","image/tiff","3904 x 2616","NIKON CORPORATION","NIKON D200","2009:01:06 13:29:11","","1/200 s","F5.6","0 EV","No flash","","135.0 mm (35 mm equivalent: 202.0 mm)","","200","Auto","Multi-segment","","RAW","3904 x 2616","AUTO","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/DRESDEN_RAW/Nikon_D200_0_14913.NEF","16610924 Bytes","image/tiff","3904 x 2616","NIKON CORPORATION","NIKON D200","2009:01:06 13:29:19","","1/350 s","F6.3","0 EV","No flash","","18.0 mm (35 mm equivalent: 27.0 mm)","","200","Auto","Multi-segment","","RAW","3904 x 2616","AUTO","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/DRESDEN_RAW/Nikon_D200_0_14915.NEF","16266140 Bytes","image/tiff","3904 x 2616","NIKON CORPORATION","NIKON D200","2009:01:06 15:55:33","","1/100 s","F5","0 EV","No flash","","24.0 mm (35 mm equivalent: 36.0 mm)","","200","Auto","Multi-segment","","RAW","3904 x 2616","AUTO","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/DRESDEN_RAW/Nikon_D200_0_14917.NEF","16215164 Bytes","image/tiff","3904 x 2616","NIKON CORPORATION","NIKON D200","2009:01:06 15:55:43","","1/100 s","F5","0 EV","No flash","","17.0 mm (35 mm equivalent: 25.0 mm)","","200","Auto","Multi-segment","","RAW","3904 x 2616","AUTO","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/DRESDEN_RAW/Nikon_D200_0_14919.NEF","16372996 Bytes","image/tiff","3904 x 2616","NIKON CORPORATION","NIKON D200","2009:01:06 15:55:52","","1/80 s","F4.5","0 EV","No flash","","55.0 mm (35 mm equivalent: 82.0 mm)","","200","Auto","Multi-segment","","RAW","3904 x 2616","AUTO","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/DRESDEN_RAW/Nikon_D200_0_14921.NEF","16355368 Bytes","image/tiff","3904 x 2616","NIKON CORPORATION","NIKON D200","2009:01:06 15:56:51","","1/60 s","F4","0 EV","No flash","","55.0 mm (35 mm equivalent: 82.0 mm)","","200","Auto","Multi-segment","","RAW","3904 x 2616","AUTO","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/DRESDEN_RAW/Nikon_D200_0_14923.NEF","16239528 Bytes","image/tiff","3904 x 2616","NIKON CORPORATION","NIKON D200","2009:01:06 15:57:24","","1/90 s","F5","0 EV","No flash","","28.0 mm (35 mm equivalent: 42.0 mm)","","200","Auto","Multi-segment","","RAW","3904 x 2616","AUTO","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/DRESDEN_RAW/Nikon_D200_0_14925.NEF","16197540 Bytes","image/tiff","3904 x 2616","NIKON CORPORATION","NIKON D200","2009:01:06 15:57:29","","1/90 s","F5","0 EV","No flash","","17.0 mm (35 mm equivalent: 25.0 mm)","","200","Auto","Multi-segment","","RAW","3904 x 2616","AUTO","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/DRESDEN_RAW/Nikon_D200_0_14927.NEF","16199528 Bytes","image/tiff","3904 x 2616","NIKON CORPORATION","NIKON D200","2009:01:06 15:59:57","","1/90 s","F5","0 EV","No flash","","24.0 mm (35 mm equivalent: 36.0 mm)","","200","Auto","Multi-segment","","RAW","3904 x 2616","AUTO","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/DRESDEN_RAW/Nikon_D200_0_14929.NEF","16184392 Bytes","image/tiff","3904 x 2616","NIKON CORPORATION","NIKON D200","2009:01:06 16:00:03","","1/100 s","F5","0 EV","No flash","","18.0 mm (35 mm equivalent: 27.0 mm)","","200","Auto","Multi-segment","","RAW","3904 x 2616","AUTO","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/DRESDEN_RAW/Nikon_D200_0_14931.NEF","16166120 Bytes","image/tiff","3904 x 2616","NIKON CORPORATION","NIKON D200","2009:01:06 16:00:19","","1/20 s","F5.6","0 EV","No flash","","135.0 mm (35 mm equivalent: 202.0 mm)","","200","Auto","Multi-segment","","RAW","3904 x 2616","AUTO","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/DRESDEN_RAW/Nikon_D200_0_14933.NEF","16118900 Bytes","image/tiff","3904 x 2616","NIKON CORPORATION","NIKON D200","2009:01:06 16:01:07","","1/90 s","F5","0 EV","No flash","","18.0 mm (35 mm equivalent: 27.0 mm)","","200","Auto","Multi-segment","","RAW","3904 x 2616","AUTO","None","",""
