File name,File size,MIME type,Image size,Camera make,Camera model,Image timestamp,Image number,Exposure time,Aperture,Exposure bias,Flash,Flash bias,Focal length,Subject distance,ISO speed,Exposure mode,Metering mode,Macro mode,Image quality,Exif Resolution,White balance,Thumbnail,Copyright,Exif comment
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/MTP_RAW/IMG_0035.CR2","21602759 Bytes","image/x-canon-cr2","5472 x 3648","Canon","Canon EOS 70D","2018:02:28 11:06:41","","1/100 s","F4","0 EV","No, compulsory","0 EV","200.0 mm","01.46 m1.58 m","100","Aperture priority","Spot","Off","RAW","5472 x 3648","Auto","image/jpeg, 13803 Bytes","","mathieu.massaviol@protonmail.com, https://mathieumassaviol.fr"
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/MTP_RAW/IMG_0036.CR2","21783671 Bytes","image/x-canon-cr2","5472 x 3648","Canon","Canon EOS 70D","2018:02:28 11:09:10","","1/100 s","F4","0 EV","No, compulsory","0 EV","200.0 mm","01.94 m2.33 m","100","Aperture priority","Spot","Off","RAW","5472 x 3648","Auto","image/jpeg, 13520 Bytes","","mathieu.massaviol@protonmail.com, https://mathieumassaviol.fr"
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/MTP_RAW/IMG_0037.CR2","22266413 Bytes","image/x-canon-cr2","5472 x 3648","Canon","Canon EOS 70D","2018:02:28 11:09:51","","1/60 s","F4","0 EV","No, compulsory","0 EV","200.0 mm","01.94 m2.33 m","100","Aperture priority","Spot","Off","RAW","5472 x 3648","Auto","image/jpeg, 11655 Bytes","","mathieu.massaviol@protonmail.com, https://mathieumassaviol.fr"
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/MTP_RAW/IMG_0038.CR2","21148953 Bytes","image/x-canon-cr2","5472 x 3648","Canon","Canon EOS 70D","2018:02:28 11:10:50","","1/200 s","F4","0 EV","No, compulsory","0 EV","200.0 mm","03.06 m3.88 m","100","Aperture priority","Spot","Off","RAW","5472 x 3648","Auto","image/jpeg, 4017 Bytes","","mathieu.massaviol@protonmail.com, https://mathieumassaviol.fr"
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/MTP_RAW/IMG_0039.CR2","21221158 Bytes","image/x-canon-cr2","5472 x 3648","Canon","Canon EOS 70D","2018:02:28 11:11:00","","1/640 s","F4","0 EV","No, compulsory","0 EV","200.0 mm","03.06 m3.88 m","100","Aperture priority","Spot","Off","RAW","5472 x 3648","Auto","image/jpeg, 3709 Bytes","","mathieu.massaviol@protonmail.com, https://mathieumassaviol.fr"
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/MTP_RAW/IMG_0040.CR2","21118805 Bytes","image/x-canon-cr2","5472 x 3648","Canon","Canon EOS 70D","2018:02:28 11:11:48","","1/50 s","F4","0 EV","No, compulsory","0 EV","200.0 mm","01.20 m1.27 m","100","Aperture priority","Spot","Off","RAW","5472 x 3648","Auto","image/jpeg, 10049 Bytes","","mathieu.massaviol@protonmail.com, https://mathieumassaviol.fr"
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/MTP_RAW/IMG_0041.CR2","23154776 Bytes","image/x-canon-cr2","5472 x 3648","Canon","Canon EOS 70D","2018:02:28 11:44:46","","1/400 s","F4","0 EV","No, compulsory","0 EV","17.0 mm","01.61 m1.94 m","100","Aperture priority","Spot","Off","RAW","5472 x 3648","Auto","image/jpeg, 8329 Bytes","","mathieu.massaviol@protonmail.com, https://mathieumassaviol.fr"
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/MTP_RAW/IMG_0042.CR2","23324032 Bytes","image/x-canon-cr2","5472 x 3648","Canon","Canon EOS 70D","2018:02:28 11:45:53","","1/500 s","F4","0 EV","No, compulsory","0 EV","28.0 mm","012.41 m-0.01 m","100","Aperture priority","Spot","Off","RAW","5472 x 3648","Auto","image/jpeg, 9968 Bytes","","mathieu.massaviol@protonmail.com, https://mathieumassaviol.fr"
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/MTP_RAW/IMG_0043.CR2","23332008 Bytes","image/x-canon-cr2","5472 x 3648","Canon","Canon EOS 70D","2018:02:28 11:47:35","","1/500 s","F4","0 EV","No, compulsory","0 EV","19.0 mm","03.93 m6.05 m","100","Aperture priority","Spot","Off","RAW","5472 x 3648","Auto","image/jpeg, 8059 Bytes","","mathieu.massaviol@protonmail.com, https://mathieumassaviol.fr"
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/MTP_RAW/IMG_0044.CR2","25730056 Bytes","image/x-canon-cr2","5472 x 3648","Canon","Canon EOS 70D","2018:02:28 11:49:24","","1/320 s","F4","0 EV","No, compulsory","0 EV","19.0 mm","03.93 m6.05 m","100","Aperture priority","Spot","Off","RAW","5472 x 3648","Auto","image/jpeg, 10810 Bytes","","mathieu.massaviol@protonmail.com, https://mathieumassaviol.fr"
