File name,File size,MIME type,Image size,Camera make,Camera model,Image timestamp,Image number,Exposure time,Aperture,Exposure bias,Flash,Flash bias,Focal length,Subject distance,ISO speed,Exposure mode,Metering mode,Macro mode,Image quality,Exif Resolution,White balance,Thumbnail,Copyright,Exif comment
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/BURST_sorted/cover_dng/001.dng","41686320 Bytes","image/tiff","5568 x 3708","Canon","Canon EOS 6D","2016:05:14 09:51:29","","1/6 s","F3.5","0 EV","No, compulsory","","41.0 mm","","200","Manual","Spot","","","5568 x 3708","Auto","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/BURST_sorted/cover_dng/002.dng","41680840 Bytes","image/tiff","5568 x 3708","Canon","Canon EOS 6D","2016:05:14 09:59:13","","1/4 s","F8","0 EV","No, compulsory","","24.0 mm","","200","Manual","Spot","","","5568 x 3708","Auto","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/BURST_sorted/cover_dng/003.dng","41728540 Bytes","image/tiff","5568 x 3708","Canon","Canon EOS 6D","2016:05:14 10:07:08","","1/4 s","F8","0 EV","No, compulsory","","67.0 mm","","200","Manual","Spot","","","5568 x 3708","Auto","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/BURST_sorted/cover_dng/004.dng","41708734 Bytes","image/tiff","5568 x 3708","Canon","Canon EOS 6D","2016:05:14 10:14:06","","1/4 s","F10","0 EV","No, compulsory","","24.0 mm","","200","Manual","Spot","","","5568 x 3708","Auto","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/BURST_sorted/cover_dng/005.dng","41745046 Bytes","image/tiff","5568 x 3708","Canon","Canon EOS 6D","2016:05:14 12:08:33","","1/15 s","F16","0 EV","No, compulsory","","50.0 mm","","200","Manual","Spot","","","5568 x 3708","Auto","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/BURST_sorted/cover_dng/006.dng","41685706 Bytes","image/tiff","5568 x 3708","Canon","Canon EOS 6D","2016:05:14 12:14:49","","1/4 s","F5","0 EV","No, compulsory","","41.0 mm","","200","Manual","Spot","","","5568 x 3708","Auto","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/BURST_sorted/cover_dng/007.dng","41720590 Bytes","image/tiff","5568 x 3708","Canon","Canon EOS 6D","2016:05:14 12:24:29","","1/40 s","F10","0 EV","No, compulsory","","47.0 mm","","200","Manual","Spot","","","5568 x 3708","Auto","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/BURST_sorted/cover_dng/008.dng","41687252 Bytes","image/tiff","5568 x 3708","Canon","Canon EOS 6D","2016:05:14 12:35:34","","1/10 s","F5","0 EV","No, compulsory","","44.0 mm","","200","Manual","Spot","","","5568 x 3708","Auto","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/BURST_sorted/cover_dng/009.dng","41689354 Bytes","image/tiff","5568 x 3708","Canon","Canon EOS 6D","2016:05:14 12:46:39","","1/6 s","F9","0 EV","No, compulsory","","70.0 mm","","200","Manual","Spot","","","5568 x 3708","Auto","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/BURST_sorted/cover_dng/010.dng","41760350 Bytes","image/tiff","5568 x 3708","Canon","Canon EOS 6D","2016:05:14 07:28:14","","1/125 s","F11","0 EV","No, compulsory","","70.0 mm","","200","Manual","Spot","","","5568 x 3708","Auto","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/BURST_sorted/cover_dng/011.dng","41696636 Bytes","image/tiff","5568 x 3708","Canon","Canon EOS 6D","2016:05:14 07:53:55","","1/125 s","F5","0 EV","No, compulsory","","50.0 mm","","200","Manual","Spot","","","5568 x 3708","Auto","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/BURST_sorted/cover_dng/012.dng","41700604 Bytes","image/tiff","5568 x 3708","Canon","Canon EOS 6D","2016:05:14 08:25:16","","1/125 s","F9","0 EV","No, compulsory","","63.0 mm","","200","Manual","Spot","","","5568 x 3708","Auto","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/BURST_sorted/cover_dng/013.dng","41717732 Bytes","image/tiff","5568 x 3708","Canon","Canon EOS 6D","2016:05:14 08:43:12","","1/50 s","F20","0 EV","No, compulsory","","57.0 mm","","200","Manual","Spot","","","5568 x 3708","Auto","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/BURST_sorted/cover_dng/014.dng","41707608 Bytes","image/tiff","5568 x 3708","Canon","Canon EOS 6D","2016:05:14 09:47:19","","1/10 s","F2.8","0 EV","No, compulsory","","47.0 mm","","200","Manual","Spot","","","5568 x 3708","Auto","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/BURST_sorted/cover_dng/015.dng","41724850 Bytes","image/tiff","5568 x 3708","Canon","Canon EOS 6D","2016:05:14 09:48:19","","1/10 s","F4","0 EV","No, compulsory","","24.0 mm","","200","Manual","Spot","","","5568 x 3708","Auto","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/BURST_sorted/cover_dng/016.dng","41698076 Bytes","image/tiff","5568 x 3708","Canon","Canon EOS 6D","2016:05:14 09:48:58","","1/4 s","F2.8","0 EV","No, compulsory","","24.0 mm","","200","Manual","Spot","","","5568 x 3708","Auto","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/BURST_sorted/cover_dng/017.dng","41660620 Bytes","image/tiff","5568 x 3708","Canon","Canon EOS 6D","2016:05:14 09:49:50","","1/30 s","F3.5","0 EV","No, compulsory","","24.0 mm","","200","Manual","Spot","","","5568 x 3708","Auto","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/BURST_sorted/cover_dng/018.dng","41685384 Bytes","image/tiff","5568 x 3708","Canon","Canon EOS 6D","2016:05:14 09:50:30","","1/6 s","F3.5","0 EV","No, compulsory","","41.0 mm","","200","Manual","Spot","","","5568 x 3708","Auto","None","",""
