File name,File size,MIME type,Image size,Camera make,Camera model,Image timestamp,Image number,Exposure time,Aperture,Exposure bias,Flash,Flash bias,Focal length,Subject distance,ISO speed,Exposure mode,Metering mode,Macro mode,Image quality,Exif Resolution,White balance,Thumbnail,Copyright,Exif comment
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK_RAW/a0001-jmac_DSC1459.dng","5248022 Bytes","image/tiff","3040 x 2014","NIKON CORPORATION","NIKON D70","2004:01:09 23:03:49","","1/400 s","F10","0 EV","No flash","","20.0 mm (35 mm equivalent: 30.0 mm)","","200","Auto","Multi-segment","","","3040 x 2014","Auto","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK_RAW/a0002-dgw_005.dng","13293308 Bytes","image/tiff","4284 x 2844","NIKON CORPORATION","NIKON D700","2008:12:23 15:08:12","","1/25 s","F2.8","0 EV","No flash","","50.0 mm (35 mm equivalent: 50.0 mm)","","2000","Aperture priority","Center weighted average","","","4284 x 2844","Auto","None","DAMIAN WAMPLER","DAMIANWAMPLER@GMAIL.COM"
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK_RAW/a0003-NKIM_MG_8178.dng","9908490 Bytes","image/tiff","3944 x 2622","Canon","Canon EOS 40D","2008:11:11 09:02:54","","1/60 s","F2.8","0 EV","No, compulsory","","17.0 mm","","100","Manual","Multi-segment","","","3944 x 2622","Auto","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK_RAW/a0004-jmac_MG_1384.dng","10504054 Bytes","image/tiff","4476 x 2954","Canon","Canon EOS 5D","2008:08:10 20:18:05","","1/80 s","F10","0 EV","No, compulsory","","24.0 mm","","400","Manual","Multi-segment","","","4476 x 2954","Manual","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK_RAW/a0005-jn_2007_05_10__564.dng","5178006 Bytes","image/tiff","3596 x 2360","Canon","Canon EOS 30D","2007:05:10 17:46:09","","1/100 s","F7.1","0 EV","No, compulsory","","66.0 mm","","100","Aperture priority","Multi-segment","","","3596 x 2360","Auto","None","2007 All Rights Reserved",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK_RAW/a0006-IMG_2787.dng","13705542 Bytes","image/tiff","4312 x 2876","Canon","Canon EOS DIGITAL REBEL XSi","2008:07:26 16:44:19","","1/200 s","F5.6","0 EV","No, compulsory","","180.0 mm","","320","Aperture priority","Spot","","","4312 x 2876","Auto","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK_RAW/a0007-IMG_2480.dng","14953636 Bytes","image/tiff","4312 x 2876","Canon","Canon EOS DIGITAL REBEL XSi","2008:07:21 16:27:47","","1/320 s","F2.8","0 EV","No, compulsory","","48.0 mm","","800","Aperture priority","Multi-segment","","","4312 x 2876","Auto","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK_RAW/a0008-WP_CRW_3959.dng","5562588 Bytes","image/tiff","3152 x 2068","Canon","Canon EOS DIGITAL REBEL","2006:04:12 20:38:16","","1/60 s","F4","0 EV","Fired","","66.0 mm","","400","Auto","Multi-segment","","","3152 x 2068","","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK_RAW/a0009-kme_372.dng","5548026 Bytes","image/tiff","2880 x 2144","FUJIFILM","FinePixS2Pro","2003:11:24 07:19:28","","1/125 s","F6.7","-1/2 EV","No flash","","23.0 mm (35 mm equivalent: 34.0 mm)","","100","Auto","Multi-segment","","","2880 x 2144","Auto","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK_RAW/a0010-jmac_MG_4807.dng","7132384 Bytes","image/tiff","3596 x 2360","Canon","Canon EOS 20D","2006:03:04 00:40:08","","1/60 s","F9","0 EV","No, compulsory","","24.0 mm","","100","Manual","Multi-segment","","","3596 x 2360","Auto","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK_RAW/a0011-DSC_0082.dng","5654246 Bytes","image/tiff","3040 x 2014","NIKON CORPORATION","NIKON D70s","2007:12:27 14:11:15","","1/250 s","F5.6","0 EV","No flash","","32.0 mm (35 mm equivalent: 48.0 mm)","","200","Aperture priority","Multi-segment","","","3040 x 2014","Auto","None","","Copyright(C) Vladimir Bychkovsky"
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK_RAW/a0012-kme_143.dng","6751234 Bytes","image/tiff","3596 x 2360","Canon","Canon EOS 20D","2006:04:29 15:53:40","","1/160 s","F11","0 EV","No, compulsory","","24.0 mm","","100","Manual","Multi-segment","","","3596 x 2360","Auto","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK_RAW/a0013-MB_20030906_001.dng","6478302 Bytes","image/tiff","3152 x 2068","Canon","Canon EOS D60","2003:09:06 09:34:02","","1/125 s","F4.5","0 EV","No flash","","44.0 mm","","100","Shutter priority","Partial","","","3152 x 2068","","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK_RAW/a0014-WP_CRW_6320.dng","6423374 Bytes","image/tiff","3152 x 2068","Canon","Canon EOS DIGITAL REBEL","2007:05:05 11:50:02","","1/250 s","F7.1","0 EV","No flash","","105.0 mm","","400","Auto","Multi-segment","","","3152 x 2068","","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK_RAW/a0015-DSC_0081.dng","4355960 Bytes","image/tiff","3040 x 2014","NIKON CORPORATION","NIKON D70s","2008:05:25 13:08:59","","1/750 s","F8","0 EV","No flash","","50.0 mm (35 mm equivalent: 75.0 mm)","","200","Aperture priority","Multi-segment","","","3040 x 2014","Auto","None","","Copyright(C) Vladimir Bychkovsky"
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK_RAW/a0016-jmac_MG_0795.dng","11569142 Bytes","image/tiff","4476 x 2954","Canon","Canon EOS 5D","2008:08:05 20:42:14","","1/320 s","F11","0 EV","No, compulsory","","24.0 mm","","400","Auto","Multi-segment","","","4476 x 2954","Auto","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK_RAW/a0017-050710_031618__MG_3496.dng","9352988 Bytes","image/tiff","3596 x 2360","Canon","Canon EOS 20D","2005:07:10 03:16:19","","1/100 s","F4","0 EV","No, compulsory","","51.0 mm","","800","Aperture priority","Multi-segment","","","3596 x 2360","Auto","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK_RAW/a0018-kme_234.dng","7098774 Bytes","image/tiff","3596 x 2360","Canon","Canon EOS 20D","2005:03:06 11:54:30","","1/250 s","F8","0 EV","No, compulsory","","20.0 mm","","100","Auto","Average","","","3596 x 2360","Auto","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK_RAW/a0019-jmac_MG_0653.dng","10692120 Bytes","image/tiff","4476 x 2954","Canon","Canon EOS 5D","2006:01:15 10:46:25","","1/6 s","F2.8","0 EV","No, compulsory","","20.0 mm","","800","Auto","Partial","","","4476 x 2954","Auto","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK_RAW/a0020-jmac_MG_6225.dng","12278398 Bytes","image/tiff","4476 x 2954","Canon","Canon EOS 5D","2006:03:08 15:17:20","","1/320 s","F11","0 EV","No, compulsory","","24.0 mm","","400","Manual","Multi-segment","","","4476 x 2954","Auto","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK_RAW/a0021-07-11-28-at-09h22m57s-_MG_7427.dng","11181720 Bytes","image/tiff","4476 x 2954","Canon","Canon EOS 5D","2007:11:28 09:22:57","","1/60 s","F14","0 EV","No, compulsory","","24.0 mm","","250","Aperture priority","Multi-segment","","","4476 x 2954","Auto","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK_RAW/a0022-IMG_2380.dng","14675148 Bytes","image/tiff","4312 x 2876","Canon","Canon EOS DIGITAL REBEL XSi","2008:07:20 17:37:09","","1/200 s","F2.8","0 EV","No, compulsory","","17.0 mm","","800","Aperture priority","Multi-segment","","","4312 x 2876","Auto","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK_RAW/a0023-07-06-02-at-15h06m48-s_MG_1489.dng","10524662 Bytes","image/tiff","4476 x 2954","Canon","Canon EOS 5D","2007:06:02 15:06:48","","1/60 s","F4","0 EV","No, compulsory","","60.0 mm","","1000","Aperture priority","Multi-segment","","","4476 x 2954","Auto","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK_RAW/a0024-_DSC8932.dng","13473456 Bytes","image/tiff","4284 x 2844","NIKON CORPORATION","NIKON D700","2008:11:02 10:45:56","","1/200 s","F5.6","0 EV","No flash","","50.0 mm (35 mm equivalent: 50.0 mm)","","200","Manual","Center weighted average","","","4284 x 2844","Manual","None","DAMIAN WAMPLER","DAMIANWAMPLER@GMAIL.COM"
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK_RAW/a0025-kme_298.dng","3579242 Bytes","image/tiff","3072 x 2048","KODAK","DCS460D         FILE VERSION 3","","","1/320 s","F4","0 EV","","","38.0 mm","","80","Aperture priority","","","","3072 x 2048","","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK_RAW/a0026-kme_391.dng","6280108 Bytes","image/tiff","3596 x 2360","Canon","Canon EOS 20D","2006:10:19 20:19:05","","1/10 s","F2.8","0 EV","No, compulsory","","45.0 mm","","100","Auto","Multi-segment","","","3596 x 2360","Auto","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK_RAW/a0027-IMG_3964.dng","12450882 Bytes","image/tiff","4312 x 2876","Canon","Canon EOS DIGITAL REBEL XSi","2008:08:19 17:32:14","","1/80 s","F2.8","0 EV","No, compulsory","","55.0 mm","","200","Aperture priority","Partial","","","4312 x 2876","Auto","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK_RAW/a0028-_DSC0032.dng","4956198 Bytes","image/tiff","3040 x 2014","NIKON CORPORATION","NIKON D70s","2007:10:31 11:25:44","","1/2000 s","F1.4","0 EV","No flash","","50.0 mm (35 mm equivalent: 75.0 mm)","","200","Aperture priority","Multi-segment","","","3040 x 2014","Auto","None","","Copyright(C) Vladimir Bychkovsky"
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK_RAW/a0029-jmac_DSC3974.dng","4893252 Bytes","image/tiff","3040 x 2014","NIKON CORPORATION","NIKON D70","2004:02:16 08:47:15","","1/250 s","F10","0 EV","No flash","","24.0 mm (35 mm equivalent: 36.0 mm)","","200","Manual","Multi-segment","","","3040 x 2014","Auto","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK_RAW/a0030-_MG_7844.dng","10696546 Bytes","image/tiff","4476 x 2954","Canon","Canon EOS 5D","2008:03:28 13:26:25","","1/160 s","F11","0 EV","No, compulsory","","32.0 mm","","100","Aperture priority","Multi-segment","","","4476 x 2954","Manual","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK_RAW/a0031-WP_CRW_0736.dng","6116400 Bytes","image/tiff","3152 x 2068","Canon","Canon EOS 10D","2005:05:11 03:57:28","","1/45 s","F4","0 EV","No flash","","40.0 mm","","400","Auto","Multi-segment","","","3152 x 2068","","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK_RAW/a0032-jmac_MG_0266.dng","10635956 Bytes","image/tiff","4476 x 2954","Canon","Canon EOS 5D","2006:01:14 14:02:05","","1/400 s","F10","-4/3 EV","No, compulsory","","20.0 mm","","320","Auto","Multi-segment","","","4476 x 2954","Auto","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK_RAW/a0033-KE_-2590.dng","4491536 Bytes","image/tiff","3040 x 2014","NIKON CORPORATION","NIKON D70","2004:07:15 03:32:12","","1/15 s","F4.2","0 EV","No flash","","35.0 mm (35 mm equivalent: 52.0 mm)","","200","Auto","Multi-segment","","","3040 x 2014","Auto","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK_RAW/a0034-LSYD4O2202.dng","15968440 Bytes","image/tiff","5108 x 3349","Canon","Canon EOS-1Ds Mark II","2005:10:27 11:43:59","","1/50 s","F16","0 EV","No, compulsory","","48.0 mm","","200","Aperture priority","Multi-segment","","","5108 x 3349","Manual","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK_RAW/a0035-dgw_048.dng","14117732 Bytes","image/tiff","4284 x 2844","NIKON CORPORATION","NIKON D700","2008:11:17 13:23:37","","1/500 s","F3.5","0 EV","No flash","","50.0 mm (35 mm equivalent: 50.0 mm)","","200","Manual","Multi-segment","","","4284 x 2844","Manual","None","DAMIAN WAMPLER","DAMIANWAMPLER@GMAIL.COM"
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK_RAW/a0036-jn_2007_05_05__183.dng","6741152 Bytes","image/tiff","3596 x 2360","Canon","Canon EOS 30D","2007:05:05 09:34:31","","1/200 s","F10","0 EV","No, compulsory","","17.0 mm","","100","Aperture priority","Multi-segment","","","3596 x 2360","Auto","None","2007 All Rights Reserved",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK_RAW/a0037-jmacAlgarve_Sagres_07.dng","5121222 Bytes","image/tiff","2880 x 2144","FUJIFILM","FinePixS2Pro","2002:11:29 21:53:50","","1/125 s","","0 EV","No flash","","","","100","Manual","Multi-segment","","","2880 x 2144","Auto","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK_RAW/a0038-MB_070908_135.dng","11642398 Bytes","image/tiff","4476 x 2954","Canon","Canon EOS 5D","2007:09:08 16:35:47","","1/125 s","F6.3","0 EV","No, compulsory","","53.0 mm","","250","Shutter priority","Multi-segment","","","4476 x 2954","Auto","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK_RAW/a0039-jmac_DSC3406.dng","4861280 Bytes","image/tiff","3040 x 2014","NIKON CORPORATION","NIKON D70","2004:02:14 06:31:43","","1/125 s","F5.6","0 EV","No flash","","24.0 mm (35 mm equivalent: 36.0 mm)","","200","Auto","Multi-segment","","","3040 x 2014","Auto","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK_RAW/a0040-_DSC5693.dng","13810878 Bytes","image/tiff","4284 x 2844","NIKON CORPORATION","NIKON D700","2008:10:11 09:13:23","","1/100 s","F11","0 EV","No flash","","20.0 mm (35 mm equivalent: 20.0 mm)","","250","Manual","Multi-segment","","","4284 x 2844","Auto","None","DAMIAN WAMPLER","DAMIANWAMPLER@GMAIL.COM"
