File name,File size,MIME type,Image size,Camera make,Camera model,Image timestamp,Image number,Exposure time,Aperture,Exposure bias,Flash,Flash bias,Focal length,Subject distance,ISO speed,Exposure mode,Metering mode,Macro mode,Image quality,Exif Resolution,White balance,Thumbnail,Copyright,Exif comment
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/RAISE_RAW/r000da54ft.NEF","10274275 Bytes","image/x-nikon-nef","4352 x 2868","NIKON CORPORATION","NIKON D90","2012:03:19 14:14:14","","1/640 s","F5","0 EV","No flash","","18.0 mm (35 mm equivalent: 27.0 mm)","","200","Aperture priority","Multi-segment","","RAW","160 x 120","AUTO","None","","Foto Inhaber:     Ayad Abdelsame"
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/RAISE_RAW/r001d260dt.NEF","21074508 Bytes","image/x-nikon-nef","4992 x 3280","NIKON CORPORATION","NIKON D7000","2013:05:11 11:45:58","","1/250 s","F5","0 EV","No, compulsory","","24.0 mm (35 mm equivalent: 36.0 mm)","","200","Aperture priority","Multi-segment","","RAW","160 x 120","CLOUDY","None","DNDUCTIEN",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/RAISE_RAW/r002fc3e2t.NEF","22603591 Bytes","image/x-nikon-nef","4992 x 3280","NIKON CORPORATION","NIKON D7000","2014:05:04 13:42:11","","1/3200 s","F4","0 EV","No, compulsory","","18.0 mm (35 mm equivalent: 27.0 mm)","","500","Aperture priority","Multi-segment","","RAW","160 x 120","SHADE","None","DNDUCTIEN",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/RAISE_RAW/r00444b95t.NEF","20797146 Bytes","image/x-nikon-nef","4992 x 3280","NIKON CORPORATION","NIKON D7000","2013:09:02 16:02:23","","1/100 s","F5.6","0 EV","No, compulsory","","18.0 mm (35 mm equivalent: 27.0 mm)","","200","Manual","Multi-segment","","RAW","160 x 120","CLOUDY","None","DNDUCTIEN",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/RAISE_RAW/r005f3e70t.NEF","11167291 Bytes","image/x-nikon-nef","4352 x 2868","NIKON CORPORATION","NIKON D90","2012:02:18 17:08:05","","1/15 s","F6.3","0 EV","No flash","","18.0 mm (35 mm equivalent: 27.0 mm)","","200","Aperture priority","Multi-segment","","RAW","160 x 120","CLOUDY","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/RAISE_RAW/r00617aa1t.NEF","19626459 Bytes","image/x-nikon-nef","4992 x 3280","NIKON CORPORATION","NIKON D7000","2011:09:23 21:19:44","","1/13 s","F3.5","0 EV","No, compulsory","","18.0 mm (35 mm equivalent: 27.0 mm)","","1600","Not defined","Multi-segment","","RAW","160 x 120","AUTO1","None","DNDUCTIEN",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/RAISE_RAW/r00679daet.NEF","19225093 Bytes","image/x-nikon-nef","4992 x 3280","NIKON CORPORATION","NIKON D7000","2012:08:21 19:36:56","","1/1250 s","F5.6","0 EV","No, compulsory","","170.0 mm (35 mm equivalent: 255.0 mm)","","400","Aperture priority","Multi-segment","","RAW","160 x 120","CLOUDY","None","DNDUCTIEN",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/RAISE_RAW/r006b0e4bt.NEF","10644439 Bytes","image/x-nikon-nef","4352 x 2868","NIKON CORPORATION","NIKON D90","2012:02:17 15:16:17","","1/25 s","F3.5","0 EV","No flash","","18.0 mm (35 mm equivalent: 27.0 mm)","","400","Aperture priority","Multi-segment","","RAW","160 x 120","COOL WHT FL","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/RAISE_RAW/r006fcc20t.NEF","22865628 Bytes","image/x-nikon-nef","4992 x 3280","NIKON CORPORATION","NIKON D7000","2013:09:22 16:02:21","","1/160 s","F13","0 EV","No, compulsory","","18.0 mm (35 mm equivalent: 27.0 mm)","","200","Aperture priority","Multi-segment","","RAW","160 x 120","CLOUDY","None","DNDUCTIEN",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/RAISE_RAW/r007f5116t.NEF","19481804 Bytes","image/x-nikon-nef","4992 x 3280","NIKON CORPORATION","NIKON D7000","2014:05:17 16:36:51","","1/13 s","F16","0 EV","No, compulsory","","31.0 mm (35 mm equivalent: 46.0 mm)","","250","Aperture priority","Multi-segment","","RAW","160 x 120","CLOUDY","None","DNDUCTIEN",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/RAISE_RAW/r00816405t.NEF","21939350 Bytes","image/x-nikon-nef","4992 x 3280","NIKON CORPORATION","NIKON D7000","2013:04:25 16:13:51","","1/1250 s","F3.5","0 EV","No, compulsory","","18.0 mm (35 mm equivalent: 27.0 mm)","","200","Aperture priority","Multi-segment","","RAW","160 x 120","CLOUDY","None","DNDUCTIEN",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/RAISE_RAW/r00869422t.NEF","11480936 Bytes","image/x-nikon-nef","4352 x 2868","NIKON CORPORATION","NIKON D90","2012:02:18 11:03:00","","1/13 s","F3.5","0 EV","No flash","","18.0 mm (35 mm equivalent: 27.0 mm)","","640","Aperture priority","Multi-segment","","RAW","160 x 120","CLOUDY","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/RAISE_RAW/r00879054t.NEF","20817244 Bytes","image/x-nikon-nef","4992 x 3280","NIKON CORPORATION","NIKON D7000","2013:10:27 12:46:18","","1/60 s","F22","0 EV","No, compulsory","","18.0 mm (35 mm equivalent: 27.0 mm)","","200","Aperture priority","Multi-segment","","RAW","160 x 120","CLOUDY","None","DNDUCTIEN",""
