File name,File size,MIME type,Image size,Camera make,Camera model,Image timestamp,Image number,Exposure time,Aperture,Exposure bias,Flash,Flash bias,Focal length,Subject distance,ISO speed,Exposure mode,Metering mode,Macro mode,Image quality,Exif Resolution,White balance,Thumbnail,Copyright,Exif comment
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0001-jmac_DSC1459.dng,5248022 Bytes,image/tiff,3040 x 2014,NIKON CORPORATION,NIKON D70,2004:01:09 23:03:49,,1/400 s,F10,0 EV,No flash,,20.0 mm (35 mm equivalent: 30.0 mm),,200,Auto,Multi-segment,,,3040 x 2014,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0002-dgw_005.dng,13293308 Bytes,image/tiff,4284 x 2844,NIKON CORPORATION,NIKON D700,2008:12:23 15:08:12,,1/25 s,F2.8,0 EV,No flash,,50.0 mm (35 mm equivalent: 50.0 mm),,2000,Aperture priority,Center weighted average,,,4284 x 2844,Auto,None,DAMIAN WAMPLER,DAMIANWAMPLER@GMAIL.COM
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0003-NKIM_MG_8178.dng,9908490 Bytes,image/tiff,3944 x 2622,Canon,Canon EOS 40D,2008:11:11 09:02:54,,1/60 s,F2.8,0 EV,No, compulsory,,17.0 mm,,100,Manual,Multi-segment,,,3944 x 2622,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0004-jmac_MG_1384.dng,10504054 Bytes,image/tiff,4476 x 2954,Canon,Canon EOS 5D,2008:08:10 20:18:05,,1/80 s,F10,0 EV,No, compulsory,,24.0 mm,,400,Manual,Multi-segment,,,4476 x 2954,Manual,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0005-jn_2007_05_10__564.dng,5178006 Bytes,image/tiff,3596 x 2360,Canon,Canon EOS 30D,2007:05:10 17:46:09,,1/100 s,F7.1,0 EV,No, compulsory,,66.0 mm,,100,Aperture priority,Multi-segment,,,3596 x 2360,Auto,None,2007 All Rights Reserved,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0006-IMG_2787.dng,13705542 Bytes,image/tiff,4312 x 2876,Canon,Canon EOS DIGITAL REBEL XSi,2008:07:26 16:44:19,,1/200 s,F5.6,0 EV,No, compulsory,,180.0 mm,,320,Aperture priority,Spot,,,4312 x 2876,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0007-IMG_2480.dng,14953636 Bytes,image/tiff,4312 x 2876,Canon,Canon EOS DIGITAL REBEL XSi,2008:07:21 16:27:47,,1/320 s,F2.8,0 EV,No, compulsory,,48.0 mm,,800,Aperture priority,Multi-segment,,,4312 x 2876,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0008-WP_CRW_3959.dng,5562588 Bytes,image/tiff,3152 x 2068,Canon,Canon EOS DIGITAL REBEL,2006:04:12 20:38:16,,1/60 s,F4,0 EV,Fired,,66.0 mm,,400,Auto,Multi-segment,,,3152 x 2068,,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0009-kme_372.dng,5548026 Bytes,image/tiff,2880 x 2144,FUJIFILM,FinePixS2Pro,2003:11:24 07:19:28,,1/125 s,F6.7,-1/2 EV,No flash,,23.0 mm (35 mm equivalent: 34.0 mm),,100,Auto,Multi-segment,,,2880 x 2144,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0010-jmac_MG_4807.dng,7132384 Bytes,image/tiff,3596 x 2360,Canon,Canon EOS 20D,2006:03:04 00:40:08,,1/60 s,F9,0 EV,No, compulsory,,24.0 mm,,100,Manual,Multi-segment,,,3596 x 2360,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0011-DSC_0082.dng,5654246 Bytes,image/tiff,3040 x 2014,NIKON CORPORATION,NIKON D70s,2007:12:27 14:11:15,,1/250 s,F5.6,0 EV,No flash,,32.0 mm (35 mm equivalent: 48.0 mm),,200,Aperture priority,Multi-segment,,,3040 x 2014,Auto,None,,Copyright(C) Vladimir Bychkovsky
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0012-kme_143.dng,6751234 Bytes,image/tiff,3596 x 2360,Canon,Canon EOS 20D,2006:04:29 15:53:40,,1/160 s,F11,0 EV,No, compulsory,,24.0 mm,,100,Manual,Multi-segment,,,3596 x 2360,Auto,None,,
