File name,File size,MIME type,Image size,Camera make,Camera model,Image timestamp,Image number,Exposure time,Aperture,Exposure bias,Flash,Flash bias,Focal length,Subject distance,ISO speed,Exposure mode,Metering mode,Macro mode,Image quality,Exif Resolution,White balance,Thumbnail,Copyright,Exif comment
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/PASCAL_RAW/2014_000001.nef","21919420 Bytes","image/x-nikon-nef","6080 x 4012","NIKON CORPORATION","NIKON D3200","2014:06:19 11:44:37","","1/4000 s","F4.5","0 EV","No flash","","28.0 mm (35 mm equivalent: 42.0 mm)","","400","Aperture priority","Multi-segment","","RAW","160 x 120","SHADE","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/PASCAL_RAW/2014_000002.nef","22487336 Bytes","image/x-nikon-nef","6080 x 4012","NIKON CORPORATION","NIKON D3200","2014:06:19 11:50:46","","1/2000 s","F4.5","0 EV","No flash","","28.0 mm (35 mm equivalent: 42.0 mm)","","400","Aperture priority","Multi-segment","","RAW","160 x 120","SHADE","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/PASCAL_RAW/2014_000003.nef","21241439 Bytes","image/x-nikon-nef","6080 x 4012","NIKON CORPORATION","NIKON D3200","2014:06:19 11:53:36","","1/4000 s","F4.5","0 EV","No flash","","28.0 mm (35 mm equivalent: 42.0 mm)","","400","Aperture priority","Multi-segment","","RAW","160 x 120","SHADE","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/PASCAL_RAW/2014_000004.nef","21856414 Bytes","image/x-nikon-nef","6080 x 4012","NIKON CORPORATION","NIKON D3200","2014:06:19 11:53:52","","1/2500 s","F4.5","0 EV","No flash","","28.0 mm (35 mm equivalent: 42.0 mm)","","400","Aperture priority","Multi-segment","","RAW","160 x 120","SHADE","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/PASCAL_RAW/2014_000005.nef","20838958 Bytes","image/x-nikon-nef","6080 x 4012","NIKON CORPORATION","NIKON D3200","2014:06:19 11:54:47","","1/4000 s","F4.5","0 EV","No flash","","28.0 mm (35 mm equivalent: 42.0 mm)","","400","Aperture priority","Multi-segment","","RAW","160 x 120","SHADE","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/PASCAL_RAW/2014_000006.nef","23229645 Bytes","image/x-nikon-nef","6080 x 4012","NIKON CORPORATION","NIKON D3200","2014:06:19 12:00:37","","1/500 s","F4.5","0 EV","No flash","","28.0 mm (35 mm equivalent: 42.0 mm)","","400","Aperture priority","Multi-segment","","RAW","160 x 120","SHADE","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/PASCAL_RAW/2014_000007.nef","21430476 Bytes","image/x-nikon-nef","6080 x 4012","NIKON CORPORATION","NIKON D3200","2014:06:19 12:02:14","","1/1250 s","F4.5","0 EV","No flash","","28.0 mm (35 mm equivalent: 42.0 mm)","","400","Aperture priority","Multi-segment","","RAW","160 x 120","SHADE","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/PASCAL_RAW/2014_000008.nef","21010515 Bytes","image/x-nikon-nef","6080 x 4012","NIKON CORPORATION","NIKON D3200","2014:06:19 12:06:53","","1/200 s","F4.5","0 EV","No flash","","28.0 mm (35 mm equivalent: 42.0 mm)","","400","Aperture priority","Multi-segment","","RAW","160 x 120","SHADE","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/PASCAL_RAW/2014_000009.nef","22386959 Bytes","image/x-nikon-nef","6080 x 4012","NIKON CORPORATION","NIKON D3200","2014:06:19 12:17:54","","1/2500 s","F4.5","0 EV","No flash","","28.0 mm (35 mm equivalent: 42.0 mm)","","400","Aperture priority","Multi-segment","","RAW","160 x 120","SHADE","None","",""
"/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/PASCAL_RAW/2014_000010.nef","21396296 Bytes","image/x-nikon-nef","6080 x 4012","NIKON CORPORATION","NIKON D3200","2014:06:19 12:18:07","","1/2000 s","F4.5","0 EV","No flash","","28.0 mm (35 mm equivalent: 42.0 mm)","","400","Aperture priority","Multi-segment","","RAW","160 x 120","SHADE","None","",""
